Name,Country,First,Division,Code,3Code
Saoudi S.,Algeria,Slimane,ATP,dza,ALG
Jimenez V.,Andorra,Victoria,WTA,ad,AND
Recouderc L.,Andorra,Laurent,ATP,ad,AND
Acasuso J.,Argentina,Jose,ATP,ar,ARG
Alund M.,Argentina,Martin,ATP,ar,ARG
Andreozzi G.,Argentina,Guido,ATP,ar,ARG
Aranguren J.M.,Argentina,Juan Martin,ATP,ar,ARG
Arguello F.,Argentina,Facundo,ATP,ar,ARG
Baez S.,Argentina,Sebastian,ATP,ar,ARG
Bagnis F.,Argentina,Facundo,ATP,ar,ARG
Barrios M.,Argentina,Mariano,ATP,ar,ARG
Berlocq C.,Argentina,Carlos,ATP,ar,ARG
Brzezicki J.P.,Argentina,Juan Pablo,ATP,ar,ARG
Cachin P.,Argentina,Pedro,ATP,ar,ARG
Calleri A.,Argentina,Agustin,ATP,ar,ARG
Canas G.,Argentina,Guillermo,ATP,ar,ARG
Capurro Taborda M.,Argentina,Martina,WTA,ar,ARG
Cerundolo F.,Argentina,Francisco,ATP,ar,ARG
Cerundolo J.M.,Argentina,Juan Manuel,ATP,ar,ARG
Chela J.I.,Argentina,Juan Ignacio,ATP,ar,ARG
Coria F.,Argentina,Federico,ATP,ar,ARG
Coria G.,Argentina,Guillermo,ATP,ar,ARG
Cravero J.,Argentina,Jorgelina,WTA,ar,ARG
Dabul B.,Argentina,Brian,ATP,ar,ARG
Decoud S.,Argentina,Sebastian,ATP,ar,ARG
Del Potro J.M.,Argentina,Juan Martin,ATP,ar,ARG
Delbonis F.,Argentina,Federico,ATP,ar,ARG
Diaz Acosta F.,Argentina,Facundo,ATP,ar,ARG
Dulko G.,Argentina,Gisela,WTA,ar,ARG
Etcheverry T.,Argentina,Tomas Martin,ATP,ar,ARG
Fernandez C.,Argentina,Clarisa,WTA,ar,ARG
Ficovich J.P.,Argentina,Juan Pablo,ATP,ar,ARG
Galdon P.,Argentina,Pablo,ATP,ar,ARG
Gaudio G.,Argentina,Gaston,ATP,ar,ARG
Gonzalez M.,Argentina,Maximo,ATP,ar,ARG
Guzman J.P.,Argentina,Juan Pablo,ATP,ar,ARG
Hartfield D.,Argentina,Diego,ATP,ar,ARG
Irigoyen M.,Argentina,Maria,WTA,ar,ARG
Jozami B.,Argentina,Betina,WTA,ar,ARG
Junqueira D.,Argentina,Diego,ATP,ar,ARG
Kicker N.,Argentina,Nicolas,ATP,ar,ARG
Londero J.I.,Argentina,Juan Ignacio,ATP,ar,ARG
Lopez M.,Argentina,Marc,ATP,ar,ARG
Marcaccio G.,Argentina,Gustavo,ATP,ar,ARG
Massa E.,Argentina,Edgardo,ATP,ar,ARG
Mayer L.,Argentina,Leonardo,ATP,ar,ARG
Molinero F.,Argentina,Florencia,WTA,ar,ARG
Molteni A.,Argentina,Andres,ATP,ar,ARG
Monaco J.,Argentina,Juan,ATP,ar,ARG
Nalbandian D.,Argentina,David,ATP,ar,ARG
Olivo R.,Argentina,Renzo,ATP,ar,ARG
Ormaechea P.,Argentina,Paula,WTA,ar,ARG
Patriarca D.,Argentina,Damian,ATP,ar,ARG
Pella C.,Argentina,Catalina,WTA,ar,ARG
Pella G.,Argentina,Guido,ATP,ar,ARG
Podoroska N.,Argentina,Nadia,WTA,ar,ARG
Puerta M.,Argentina,Mariano,ATP,ar,ARG
Roitman S.,Argentina,Sergio,ATP,ar,ARG
Salerni M.E.,Argentina,Marie Emilia,WTA,ar,ARG
Schwank E.,Argentina,Eduardo,ATP,ar,ARG
Schwartzman D.,Argentina,Diego,ATP,ar,ARG
Suarez P.,Argentina,Paola,WTA,ar,ARG
Tirante T.A.,Argentina,Thiago Augustin,ATP,ar,ARG
Trungelliti M.,Argentina,Marco,ATP,ar,ARG
Vassallo-Arguello M.,Argentina,Martin,ATP,ar,ARG
Velotti A.,Argentina,Agustin,ATP,ar,ARG
Zabaleta M.,Argentina,Mariano,ATP,ar,ARG
Zeballos H.,Argentina,Horacio,ATP,ar,ARG
Rodriguez Taverna S.,Argentina,Santiago Fa,ATP,ar,ARG
Ugo Carabelli C.,Argentina,Camilo,ATP,ar,ARG
Carle M.,Argentina,Maria,WTA,ar,ARG
Sargsian S.,Armenia,Sargis,ATP,am,ARM
Adamczak M.,Australia,Monique,WTA,au,AUS
Aiava D.,Australia,Destanee,WTA,au,AUS
Anderson O.,Australia,Oliver,ATP,au,AUS
Arthurs W.,Australia,Wayne,ATP,au,AUS
Baccanello P.,Australia,Paul,ATP,au,AUS
Bai A.,Australia,Alison,WTA,au,AUS
Ball C.,Australia,Cameron,ATP,au,AUS
Barton M.,Australia,Matthew,ATP,au,AUS
Barty A.,Australia,Ashleigh,WTA,au,AUS
Birrell K.,Australia,Kimberly,WTA,au,AUS
Bobusic B.,Australia,Bojana,WTA,au,AUS
Bolt A.,Australia,Alex,ATP,au,AUS
Bourchier H.,Australia,Harry,ATP,au,AUS
Bourgeois L.,Australia,Luke,ATP,au,AUS
Cabrera L.,Australia,Lizette,WTA,au,AUS
Da Silva Fick G.,Australia,Gabriella,WTA,au,AUS
De Minaur A.,Australia,Alex,ATP,au,AUS
Dellacqua C.,Australia,Casey,WTA,au,AUS
Dokic J.,Australia,Jelena,WTA,au,AUS
Draper S.,Australia,Scott,ATP,au,AUS
Duckworth J.,Australia,James,ATP,au,AUS
Ebden M.,Australia,Matthew,ATP,au,AUS
Ebelthite C.,Australia,Colin,ATP,au,AUS
Fancutt T.,Australia,Thomas,ATP,au,AUS
Ferguson S.,Australia,Sophie,WTA,au,AUS
Fish A.,Australia,Ashley,ATP,au,AUS
Fourlis J.,Australia,Jaimee,WTA,au,AUS
Gadecki O.,Australia,Olivia,WTA,au,AUS
Gavrilova D.,Australia,Daria,WTA,au,AUS
Golds S.,Australia,Shannon,WTA,au,AUS
Groth S.,Australia,Sam,ATP,au,AUS
Guccione C.,Australia,Chris,ATP,au,AUS
Harris A.,Australia,Andrew,ATP,au,AUS
Healey N.,Australia,Nathan,ATP,au,AUS
Hewitt L.,Australia,Lleyton,ATP,au,AUS
Hives Z.,Australia,Zoe,WTA,au,AUS
Holland I.,Australia,Isabella,WTA,au,AUS
Hon P.,Australia,Priscilla,WTA,au,AUS
Inglis M.,Australia,Maddison,WTA,au,AUS
Jasika O.,Australia,Omar,ATP,au,AUS
Jones A.,Australia,Alun,ATP,au,AUS
Jones G.,Australia,Greg,ATP,au,AUS
Junaid R.,Australia,Rameez,ATP,au,AUS
Kimmich M.,Australia,Marc,ATP,au,AUS
Kokkinakis T.,Australia,Thanasi,ATP,au,AUS
Kriz N.,Australia,Nicole,WTA,au,AUS
Kubler J.,Australia,Jason,ATP,au,AUS
Kyrgios N.,Australia,Nick,ATP,au,AUS
Lemke J.,Australia,James,ATP,au,AUS
Lindahl N.,Australia,Nick,ATP,au,AUS
Luczak P.,Australia,Peter,ATP,au,AUS
Matosevic M.,Australia,Marinko,ATP,au,AUS
Millman J.,Australia,John,ATP,au,AUS
Mitchell B.,Australia,Benjamin,ATP,au,AUS
Molik A.,Australia,Alicia,WTA,au,AUS
Moore J.,Australia,Jessica,WTA,au,AUS
Mott B.,Australia,Blake,ATP,au,AUS
O'Connell C.,Australia,Christopher,ATP,au,AUS
Patterson T.,Australia,Tammi,WTA,au,AUS
Peers S.,Australia,Sally,WTA,au,AUS
Perez E.,Australia,Ellen,WTA,au,AUS
Philippoussis M.,Australia,Mark,ATP,au,AUS
Polmans M.,Australia,Marc,ATP,au,AUS
Popyrin A.,Australia,Alexei,ATP,au,AUS
Pratt N.,Australia,Nicole,WTA,au,AUS
Reid M.,Australia,Matt,ATP,au,AUS
Reid T.,Australia,Todd,ATP,au,AUS
Rodionova A.,Australia,Anastasia,WTA,au,AUS
Rodionova Ar.,Australia,Arina,WTA,au,AUS
Rogowska O.,Australia,Olivia,WTA,au,AUS
Sanders S.,Australia,Storm,WTA,au,AUS
Santillan A.,Australia,Akira,ATP,au,AUS
Saville L.,Australia,Luke,ATP,au,AUS
Schoolkate T.,Australia,Tristan,ATP,au,AUS
Sharma A.,Australia,Astra,WTA,au,AUS
Sirianni J.,Australia,Joseph,ATP,au,AUS
Smeets R.,Australia,Robert,ATP,au,AUS
Smith J.P.,Australia,John Patrick,ATP,au,AUS
Starr E.,Australia,Emelyn,WTA,au,AUS
Stosur S.,Australia,Samantha,WTA,au,AUS
Sweeny D.,Australia,Dane,ATP,au,AUS
Thompson J.,Australia,Jordan,ATP,au,AUS
Tomic B.,Australia,Bernard,ATP,au,AUS
Tomljanovic A.,Australia,Ajla,WTA,au,AUS
Tu L.,Australia,Li,ATP,au,AUS
Vukic A.,Australia,Aleksandar,ATP,au,AUS
Wallace I.,Australia,Isabelle,WTA,au,AUS
Wejnert M.,Australia,Monika,WTA,au,AUS
Wheeler C.,Australia,Christina,WTA,au,AUS
Whittington A.,Australia,Andrew,ATP,au,AUS
Wolfe J.,Australia,Jarmila,WTA,au,AUS
Hijikata R.,Australia,Rinky,ATP,au,AUS
Saville D.,Australia,Daria,WTA,au,AUS
Mendez S.,Australia,Seone,WTA,au,AUS
Preston T.,Australia,Taylah,WTA,au,AUS
Kraus S.,Austria,Sinja,WTA,at,AUT
Antonitsch M.,Austria,Mira,WTA,at,AUT
Bammer S.,Austria,Sybille,WTA,at,AUT
Eitzinger R.,Austria,Rainer,ATP,at,AUT
Erler A.,Austria,Alexander,ATP,at,AUT
Eschauer W.,Austria,Werner,ATP,at,AUT
Fischer M.,Austria,Martin,ATP,at,AUT
Grabher J.,Austria,Julia,WTA,at,AUT
Haas B.,Austria,Barbara,WTA,at,AUT
Haider-Maurer A.,Austria,Andreas,ATP,at,AUT
Hipfl M.,Austria,Markus,ATP,at,AUT
Hoch E.,Austria,Eva,WTA,at,AUT
Hofmanova N.,Austria,Nikola,WTA,at,AUT
Klaffner M.,Austria,Melanie,WTA,at,AUT
Knowle J.,Austria,Julian,ATP,at,AUT
Koellerer D.,Austria,Daniel,ATP,at,AUT
Koubek S.,Austria,Stefan,ATP,at,AUT
Linzer M.,Austria,Michael,ATP,at,AUT
Marach O.,Austria,Oliver,ATP,at,AUT
Mayr P.,Austria,Patricia,WTA,at,AUT
Melzer G.,Austria,Gerald,ATP,at,AUT
Melzer J.,Austria,Jurgen,ATP,at,AUT
Meusburger Y.,Austria,Yvonne,WTA,at,AUT
Miedler L.,Austria,Lucas,ATP,at,AUT
Mirnegg M.,Austria,Marco,ATP,at,AUT
Moser L.M.,Austria,Lisa-Maria,WTA,at,AUT
Muster T.,Austria,Thomas,ATP,at,AUT
Neumayer L.,Austria,Lukas,ATP,at,AUT
Neuwirth Y.,Austria,Yvonne,WTA,at,AUT
Novak D.,Austria,Dennis,ATP,at,AUT
Ofner S.,Austria,Sebastian,ATP,at,AUT
Oswald P.,Austria,Philipp,ATP,at,AUT
Paszek T.,Austria,Tamira,WTA,at,AUT
Peya A.,Austria,Alexander,ATP,at,AUT
Rodionov J.,Austria,Jurij,ATP,at,AUT
Rottmann N.,Austria,Nicole,WTA,at,AUT
Sandbichler A.,Austria,Armin,ATP,at,AUT
Schiechtl T.,Austria,Tina,WTA,at,AUT
Slanar M.,Austria,Martin,ATP,at,AUT
Thiem D.,Austria,Dominic,ATP,at,AUT
Trinker B.,Austria,Bastian,ATP,at,AUT
Farhad K.,Azerbaijan,Kamilla,WTA,az,AZE
Jafarova N.,Azerbaijan,Nazrin,WTA,az,AZE
King D.,Barbados,Darian,ATP,bb,BAR
Azarenka V.,Belarus,Victoria,WTA,by,BLR
Betov S.,Belarus,Sergey,ATP,by,BLR
Dzehalevich E.,Belarus,Ekaterina,WTA,by,BLR
Fidirko N.,Belarus,Nikolai,ATP,by,BLR
Gerasimov E.,Belarus,Egor,ATP,by,BLR
Govortsova O.,Belarus,Olga,WTA,by,BLR
Hatouka Y.,Belarus,Yuliya,WTA,by,BLR
Ignatik U.,Belarus,Uladzimir,ATP,by,BLR
Ivashka I.,Belarus,Ilya,ATP,by,BLR
Kremen I.,Belarus,Ilona,WTA,by,BLR
Kustova D.,Belarus,Darya,WTA,by,BLR
Lapko V.,Belarus,Vera,WTA,by,BLR
Milevskaya K.,Belarus,Ksenia,WTA,by,BLR
Mirnyi M.,Belarus,Max,ATP,by,BLR
Orlik A.,Belarus,Anna,WTA,by,BLR
Poutchek T.,Belarus,Tatiana,WTA,by,BLR
Sabalenka A.,Belarus,Aryna,WTA,by,BLR
Sasnovich A.,Belarus,Aliaksandra,WTA,by,BLR
Shyla Y.,Belarus,Yaraslav,ATP,by,BLR
Vasilevski A.,Belarus,Andrei,ATP,by,BLR
Voltchkov V.,Belarus,Vladimir,ATP,by,BLR
Yakimova A.,Belarus,Anastasiya,WTA,by,BLR
Authom M.,Belgium,Maxime,ATP,be,BEL
Bemelmans R.,Belgium,Ruben,ATP,be,BEL
Benoit M.,Belgium,Marie,WTA,be,BEL
Bergs Z.,Belgium,Zizou,ATP,be,BEL
Bogaerts R.,Belgium,Romain,ATP,be,BEL
Bonaventure Y.,Belgium,Ysaline,WTA,be,BEL
Clijsters K.,Belgium,Kim,WTA,be,BEL
Coppejans K.,Belgium,Kimmer,ATP,be,BEL
Darcis S.,Belgium,Steve,ATP,be,BEL
De Greef A.,Belgium,Arthur,ATP,be,BEL
De Loore J.,Belgium,Joris,ATP,be,BEL
Desein N.,Belgium,Niels,ATP,be,BEL
Elseneer G.,Belgium,Gilles,ATP,be,BEL
Flipkens K.,Belgium,Kirsten,WTA,be,BEL
Gigounon G.,Belgium,Germain,ATP,be,BEL
Goffin D.,Belgium,David,ATP,be,BEL
Hendler T.,Belgium,Tamaryn,WTA,be,BEL
Liebens K.,Belgium,Klaartje,WTA,be,BEL
Maes C.,Belgium,Caroline,WTA,be,BEL
Malisse X.,Belgium,Xavier,ATP,be,BEL
Mertens E.,Belgium,Elise,WTA,be,BEL
Mertens Y.,Belgium,Yannick,ATP,be,BEL
Mestach A.S.,Belgium,An-Sophie,WTA,be,BEL
Minnen G.,Belgium,Greet,WTA,be,BEL
Norman D.,Belgium,Dick,ATP,be,BEL
Rochus C.,Belgium,Christophe,ATP,be,BEL
Rochus O.,Belgium,Olivier,ATP,be,BEL
Van Uytvanck A.,Belgium,Alison,WTA,be,BEL
Vliegen K.,Belgium,Kristof,ATP,be,BEL
Wickmayer Y.,Belgium,Yanina,WTA,be,BEL
Zanevska M.,Belgium,Maryna,WTA,be,BEL
Dellien H.,Bolivia,Hugo,ATP,bo,BOL
Basic M.,Bosnia and Herzegovina,Mirza,ATP,ba,BIH
Delic A.,Bosnia and Herzegovina,Amer,ATP,ba,BIH
Dzumhur D.,Bosnia and Herzegovina,Damir,ATP,ba,BIH
Jugic-Salkic M.,Bosnia and Herzegovina,Mervana,WTA,ba,BIH
Martinovic S.,Bosnia and Herzegovina,Sandra,WTA,ba,BIH
Setkic A.,Bosnia and Herzegovina,Aldin,ATP,ba,BIH
Tinjic J.,Bosnia and Herzegovina,Jasmina,WTA,ba,BIH
Berberovic N.,Bosnia and Herzegovina,Nefisa,WTA,ba,BIH
Alves C.M.,Brazil,Maria Claudia,WTA,br,BRA
Alves M.F.,Brazil,Maria Fernanda,WTA,br,BRA
Alves T.,Brazil,Thiago,ATP,br,BRA
Bellucci T.,Brazil,Thomaz,ATP,br,BRA
Ce G.,Brazil,Gabriela,WTA,br,BRA
Clezar G.,Brazil,Guilherme,ATP,br,BRA
Daniel M.,Brazil,Marcos,ATP,br,BRA
De Paula F.,Brazil,Fabiano,ATP,br,BRA
Demoliner M.,Brazil,Marcelo,ATP,br,BRA
Dutra Silva R.,Brazil,Rogerio,ATP,br,BRA
Ferreiro F.,Brazil,Franco,ATP,br,BRA
Ghem A.,Brazil,Andre,ATP,br,BRA
Goncalves P.C.,Brazil,Paula Cristina,WTA,br,BRA
Haddad Maia B.,Brazil,Beatriz,WTA,br,BRA
Hocevar R.,Brazil,Ricardo,ATP,br,BRA
Kuerten G.,Brazil,Gustavo,ATP,br,BRA
Luz O.,Brazil,Orlando,ATP,br,BRA
Meligeni Rodrigues F,Brazil,Felipe,ATP,br,BRA
Mello R.,Brazil,Ricardo,ATP,br,BRA
Menezes J.,Brazil,Joao,ATP,br,BRA
Monteiro T.,Brazil,Thiaigo,ATP,br,BRA
Pereira T.,Brazil,Teliana,WTA,br,BRA
Pigossi L.,Brazil,Laura,WTA,br,BRA
Romboli F.,Brazil,Fernando,ATP,br,BRA
Sa A.,Brazil,Andre,ATP,br,BRA
Sakamoto P.,Brazil,Pedro,ATP,br,BRA
Saretta F.,Brazil,Flavio,ATP,br,BRA
Seyboth Wild T.,Brazil,Thiago,ATP,br,BRA
Silva D.,Brazil,Daniel,ATP,br,BRA
Silva J.,Brazil,Julio,ATP,br,BRA
Souza J.,Brazil,Joao,ATP,br,BRA
Stefani L.,Brazil,Luisa,WTA,br,BRA
Widjaja J.,Brazil,Jenifer,WTA,br,BRA
Zampieri C.,Brazil,Caio,ATP,br,BRA
Pucinelli De Almeida M.,Brazil,Matheus,ATP,br,BRA
Andreev A.,Bulgaria,Adrian,ATP,bg,BUL
Dimitrov G.,Bulgaria,Grigor,ATP,bg,BUL
Donski A.,Bulgaria,Alexander,ATP,bg,BUL
Evtimova D.,Bulgaria,Dia,WTA,bg,BUL
Karatantcheva S.,Bulgaria,Sesil,WTA,bg,BUL
Kostova E.,Bulgaria,Elitsa,WTA,bg,BUL
Kutrovsky D.,Bulgaria,Dimitar,ATP,bg,BUL
Kuzmanov D.,Bulgaria,Dimitar,ATP,bg,BUL
Lazarov A.,Bulgaria,Alexandar,ATP,bg,BUL
Lazov A.,Bulgaria,Alexandar,ATP,bg,BUL
Naydenova A.,Bulgaria,Aleksandrina,WTA,bg,BUL
Pironkova T.,Bulgaria,Tsvetana,WTA,bg,BUL
Shinikova I.,Bulgaria,Isabella,WTA,bg,BUL
Tomova V.,Bulgaria,Viktoriya,WTA,bg,BUL
Sebov K.,Canada,Katherine,WTA,ca,CAN
Abanda F.,Canada,Francoise,WTA,ca,CAN
Agostinelli B.,Canada,Bruno,ATP,ca,CAN
Andreescu B.,Canada,Bianca,WTA,ca,CAN
Auger-Aliassime F.,Canada,Felix,ATP,ca,CAN
Bester P.,Canada,Philip,ATP,ca,CAN
Bouchard E.,Canada,Eugenie,WTA,ca,CAN
Chvojka E.,Canada,Erik,ATP,ca,CAN
Dabrowski G.,Canada,Gabriela,WTA,ca,CAN
Dancevic F.,Canada,Frank,ATP,ca,CAN
Diez S.,Canada,Steven,ATP,ca,CAN
Dubois S.,Canada,Stephanie,WTA,ca,CAN
Duclos P.L.,Canada,Pierre Ludovic,ATP,ca,CAN
El Tabakh H.,Canada,Heidi,WTA,ca,CAN
Fernandez L.,Canada,Leylah,WTA,ca,CAN
Fichman S.,Canada,Sharon,WTA,ca,CAN
Levine J.,Canada,Jesse,ATP,ca,CAN
Lin J.M.,Canada,Jack Mingjie,ATP,ca,CAN
Marino R.,Canada,Rebecca,WTA,ca,CAN
Nestor D.,Canada,Daniel,ATP,ca,CAN
Niemeyer F.,Canada,Frederic,ATP,ca,CAN
Peliwo F.,Canada,Filip,ATP,ca,CAN
Pelletier M.E.,Canada,Marie-Eve,WTA,ca,CAN
Polansky P.,Canada,Peter,ATP,ca,CAN
Pospisil V.,Canada,Vasek,ATP,ca,CAN
Raonic M.,Canada,Milos,ATP,ca,CAN
Robillard-Millette C.,Canada,Charlotte,WTA,ca,CAN
Schnur B.,Canada,Brayden,ATP,ca,CAN
Shapovalov D.,Canada,Dennis,ATP,ca,CAN
Shulaeva E.,Canada,Ekaterina,WTA,ca,CAN
Steckley R.,Canada,Rob,ATP,ca,CAN
